Selected;ShotID;Mirrored;InternalID;Filename;GameType;Interpreted;Player;ErrorID;ErrorText;Set;CurrentInning;CurrentSeries;CurrentTotalPoints;Point;TableIndex;B1B2B3;B1_Hits;B2_Hits;B3_Hits
False;17809;0;17809,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;1;0;0;1;0;WYR;S;--3;-
False;17812;0;17812,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;2;0;0;1;2;WRY;S;--1-3-4;-
False;17813;0;17813,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;3;0;0;1;3;WYR;S-4;--3;--4-3
False;17814;0;17814,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;3;0;0;1;4;YWR;S-3-4-3;--4-3;-
False;17815;0;17815,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;4;0;0;1;5;WYR;S;-;-
False;17816;0;17816,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;4;0;0;1;6;YWR;S-3-4-1-3;-;-
False;17817;0;17817,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;5;0;0;1;7;WYR;S;-;-
False;17818;0;17818,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;1;5;0;0;1;8;WRY;S-4;--2;--2
False;17821;0;17821,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;2;0;0;1;11;WYR;S;-;--3
False;17822;0;17822,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;2;0;0;1;12;YRW;S-3-1-3-1-3-1-3-1-3-1;-;-
False;17839;0;17839,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;2;1;0;0;14;WYR;S;--3-1-3-1-2;-
False;17840;0;17840,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;3;1;1;1;15;WRY;S;-;-
False;17843;0;17843,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;4;0;0;1;16;WYR;S;-;-
False;17844;0;17844,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;4;0;1;1;17;YWR;S-3;-;-
False;17845;0;17845,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;5;0;0;1;18;WYR;S;-;--1
False;17846;0;17846,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;5;0;1;1;19;YWR;S-3;-;-
False;17849;0;17849,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;6;0;0;1;20;WYR;S-1;-;-
False;17850;0;17850,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;6;0;1;1;21;WYR;S;--3-1-2;-
False;17854;0;17854,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;7;0;1;1;23;WRY;S;-;-
False;17855;0;17855,0;20170906_match_01_Ersin_Cemal.txt;2;1;Dogan, Ersin;;Raw Hits OK;2;8;0;0;1;24;RWY;S-3-1-1-1-1-1-1-1;-;-
